Index,GO,Genes,Gene_Count,Truth Label
7453,GO:0000448,BOP1 NOL9,2,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
7454,GO:1905097,POLDIP2 CCPG1 STMN1 PBXIP1 EPHA4 MET GPSM1 EIF2S1 RIPOR2,9,regulation of guanyl-nucleotide exchange factor activity
7455,GO:0045299,ATG4B OC90 OTOL1,3,otolith mineralization
7456,GO:0060896,PTCH1 C2CD3 BMPR1A CELSR2 NOG SSBP3 FUZ TBX18,8,neural plate pattern specification
7457,GO:0061085,PHF19 EZHIP PHF1 ZNF304 GATA3 MTF2 KPNA7 OGT,8,regulation of histone H3-K27 methylation
7458,GO:0060340,STING1 ZBP1 LSM14A RNF185 TRIM56 USP27X TRIM6 IRF3 TBK1 TRIM41 UBE2K MAVS FADD IRF7 MMP12 USP29 WNT5A IKBKE NLRC5,19,positive regulation of type I interferon-mediated signaling pathway
7459,GO:0051309,NCAPH NCAPH2,2,female meiosis chromosome separation
7460,GO:0046578,DAB2IP MFN2 SYDE2 F2RL2 CBL CAVIN4 TGFB2 RASA1 RAC1 RABGEF1 CCDC125 HEG1 ARHGEF3 SCAI RABL3 KBTBD6 CRK LZTR1 P2RY8 GPR65 EPHB2 PIK3CB GPR4 RALGPS2 NET1 KRAS GABARAP RALGPS1 MAPKAP1 ITGB1 ITPKB MMD2 STMN1 ARHGAP17 PDGFRB KCTD13 RTN4R CYTH3 ABCA1 LPAR4 PLCE1 SRC SPRY1 NOTCH2 KITLG RASA4 PSD4 EPS8L2 CSF1 NRP1 ARFGAP1 ARHGDIB NTRK1 FBP1 GBF1 CADM4 PPP2CB MADD RIT2 P2RY10 BCR CDC42SE2 GIT2 ABL2 RASA4B SPRY2 KANK1 RASAL1 APOE BCL6 GPR20 RASAL3 F2R ARHGEF28 FLOT1 FOXM1 CDC42SE1 NF1 CYTH4 LRRD1 SYNPO2L COL3A1 ARHGEF25 AUTS2 SPRY4 EPO STARD13 NGF ARRB1 ALS2 IQSEC1 IQSEC3 LPAR2 DENND1A EPS8L1 RALBP1 PSD2 EPS8 ITGA3 ARHGAP44 CYTH1 SHOC2 SYDE1 LPAR1 RDX KCTD10 RASGRP1 SH3BP1 IGF1 RIPOR2 RGL2 ARFGEF3 STARD8 RASGRF1 TRIM67 SGSM3 MCF2L KIF14 GPR18 FGF10 SYNGAP1 PDCD10 GPR55 IQSEC2 DENND4B RASGRP4 STMN3 ARFGEF1 OPHN1 EPS8L3 DENND3 RASGRF2 FLCN STK19 MAP4K4 GPR35 MET ABL1 PRAG1 ARHGAP24 LPAR6 ARHGEF18 F2RL1 FBXO8 OGT F2RL3 ABRA ERBIN LRRC59 TNFAIP1 RAF1 ADRA1A NUP62 GPR174 DENND4C AKAP13 F11R SSX2IP RASIP1 RASA3 ROBO1 SPRY3 PIK3CG DENND4A NOTCH1 MAPRE2 ARFGEF2 ARHGEF2 MYOC MYO9B CYTH2 ARF6 APOA1 RASA2 RASGEF1A SQSTM1 ARHGEF10 DLC1 ARHGAP35 PSD KANK2 GPR17 GIT1 CUL3 APOC3 ADGRG1 ARHGAP42 PSD3 KBTBD7 ARHGDIA STAMBP DNM2,192,regulation of Ras protein signal transduction
7461,GO:0042789,ANXA2 SUPT6H S100A10 TFCP2 TAF7 TAF13 TAF10 TBP NCBP1 FOXE3 TAF8 NR1H2 NCOA2 ZIC3 TAF4B TAF4 SREBF1 TAF11 C5AR1 TAF1 NR1H3 TAF2 HLTF MED1 EPAS1 RARA ATF2 TAF3 THRB RXRA TAF5 TAF12 STAT3 PPARG NCOA1 AP3B1 TAF6 NCBP3 RXRB CREB1 ATF4 VDR TAF9 NCBP2 ZBTB1,45,mRNA transcription by RNA polymerase II
7462,GO:0001869,SERPING1 A2M,2,"negative regulation of complement activation, lectin pathway"
7463,GO:0002635,FOXJ1 RC3H1,2,negative regulation of germinal center formation
7464,GO:1904231,SDHAF4 FXN FTMT,3,positive regulation of succinate dehydrogenase activity
7465,GO:0060601,BMP7 CELSR1 AR TP63 NOG SHH FGF10 WNT5A BMP4 SULF1 FGFR2,11,lateral sprouting from an epithelium
7466,GO:0098759,CXCR2 CXCR1 EGR1,3,cellular response to interleukin-8
7467,GO:1900744,DLG1 HAND2 DAB2IP BMP2 XDH GDF6 SPHK1 RELL1 NCF1 GADD45A PRMT1 HGF RASGRP1 SASH1 PER1 MINK1 OPRK1 RELL2 VEGFA GADD45G MAP3K5 AGER MFHAS1 ZC3H12A PHLPP1 MAP3K4 DUSP10 ULK4 STK39 GADD45B PJA2 DUSP1 MAP3K3 CAV3 LGALS9 EZR SPI1 PTPN22 IL1B CYLD LEP TREM2 BMP4,43,regulation of p38MAPK cascade
7468,GO:0072015,ADIPOQ PODXL NOTCH2 NPHS1 JAG1 ASXL1 NPHS2 BMP4 MAGI2 IQGAP1 LAMB2 MYO1E,12,podocyte development
7469,GO:0006458,HSPA1L ST13 HSPA1A FKBP1B HSPA6 DNAJB13 SDF2L1 UGGT1 DNAJC18 ERO1A BAG1 ENTPD5 HSPA13 PTGES3 SDF2 GAK CHCHD4 FKBP1A DNAJB4 SELENOF DNAJC2 HSPE1 CD74 TOR2A HSPA8 HSPA2 DNAJB14 HSPD1 HSPA14 DNAJB12 HSPA5 DNAJB5 HSPA1B DNAJB1 TOR1B DNAJC7 HSPH1 HSPA9 CCT2 TOR1A,40,'de novo' protein folding
7470,GO:1902953,PGAP1 SORL1 STX18 TBC1D20,4,positive regulation of ER to Golgi vesicle-mediated transport
7471,GO:0042756,REN MMP17 OXT TACR1 HTR1B DRD2 SLC24A4 APLN UCN EN1 AGT ACE2,12,drinking behavior
7472,GO:0032409,KCNE2 APOA2 GRP RELN THADA PTPN3 PTK2B CAPN1 CLIC2 CABP2 MMP9 ATP7A CAB39 GSTM2 GOPC SLN LRRC55 GAL TESC SNCA UTRN ACTN2 ATP1B1 PDE4B PPIF EDN1 VMP1 FGF12 REM1 EPHB2 CASQ2 HECW2 CACNG8 NR1H3 CALM2 AKAP5 KCNC2 CASQ1 YWHAH CNIH3 ITGB1 JPH3 RYR2 BCL2 STK39 PPP3CC CAMK2D PRKCE IFNG COA8 MAPK8IP2 WNK1 UBQLN1 HCN2 ADRB2 VAMP2 DMD CACNB2 GSTO1 LRRC26 AKAP9 NEDD4L STAC2 STOM NDFIP2 PRNP STAC3 ATP2A1 SLC9A1 YWHAE CAV1 FXYD5 JPH1 ATP1B2 SCN4B ACTN4 DLG4 SHISA8 ACE2 SLC5A11 CACNG7 PARK7 FKBP1B DRD4 FMR1 AHNAK RNF207 GNB5 CACNG4 EHD3 KCNE1 WNK4 MEF2C SYNGR3 ABCB1 CFTR ALG10B CHRM3 CTTNBP2NL STIM2 PTAFR DAPK1 PLA2G6 KMT2A SHISA6 ADIPOQ JSRP1 CABP5 ARC AKAP6 KCNE5 TRDN SLC6A9 NDUFA4 CACNG2 RGN LRRC38 PLN KCNRG AHCYL1 PPARG NIPSNAP2 PCSK9 NOS1AP APP SPHK2 CABP1 CDK5 HOMER1 AMIGO1 SCN2B EPO RIPK1 WWP2 OPRL1 KCNC1 SHISA9 STAC FGF13 GALR2 GPD1L RRAD RANGRF FXYD6 HPCA FGF11 NETO1 NPPA ATP1A2 SHISA7 ACTB CACNA1D NLGN3 PDZK1 CNIH2 FGF14 TLR9 MINK1 CACNA2D1 KCNAB1 NLGN2 RASGRF1 PLCG2 KCNK3 HCN3 TMSB4X TCAF1 LOC102723475 FXYD7 PPP3R2 NTSR1 PINK1 KCNS2 FHL1 PKD2 CHP2 CALM3 FXYD3 PRKACA TWIST1 SLMAP HSPA2 RASGRF2 PRRT1 EDNRA CACNG3 C4orf3 SCN3B GPR35 ATPSCKMT KLHL24 KCNE4 PIRT CALM1 GSG1L GLRX CACNB3 ANK2 PM20D1 ATP1B3 FXYD1 OXSR1 CRHR1 SRI NDFIP1 CCR2 HRC HTT INS CACNB4 PPP3CA LINC02210-CRHR1 PON1 RXRA PPP3CB CTSS JPH4 DLG1 HAP1 OSR1 NEDD4 SCN1B HCN4 ANO9 CCL2 TACO1 HECW1 KCTD7 TMEM74 CRHBP PHB2 DRD3 P2RY6 ABCC8 SLC9A3R1 FXYD4 KCNIP2 STIMATE ADRA2A GEM CACNG5 PIM1 CLTRN WNK3 NOS1 COX17 JPH2 FXYD2 SHANK1 FKBP1A LRRC52 IFNGR2 MTNR1B PDE4D STIM1 HCN1 KCNA1 NETO2 KCNQ1 SUMO1 CBARP KCNE3 DRD2 GRM5 TRPC6 KCNG1 MRLN CAV3 WNK2 OPRM1 CACNB1 TCAF2 CRH CRBN KCNS1 PRKCD NLGN1 SGK2 CABP4 SELENON CNKSR3 ABCC9 TREM2 ANK3 SGK1 CRACR2A ANTKMT PPP3R1 CHP1 DNM2,290,regulation of transporter activity
7473,GO:0097048,CXCL12 RAPGEF2 LILRB1 CCL21 CCR7 BCL2 AXL GAS6 BLK LYN BCL2L1 CCL19 LGALS9,13,dendritic cell apoptotic process
7474,GO:0045638,GATA2 PTK2B TLR3 GPR68 LEO1 CLDN18 PRMT1 MEIS1 H4C5 H4C8 MYB INPP5D LTF ZFP36L1 HOXA5 ITPKB TOB2 LILRB4 INHA TNFAIP6 FSTL3 ZFP36 LDB1 PIK3R1 LRRC17 PF4 PAF1 STAT5B PTPN2 INHBA LOC102725035 CDK6 LILRB3 DLL1 IL4 ZBTB46 UBASH3B ZBTB16 FBXW7 H4C12 FBN1 ADIPOQ H4C11 NF1 CTR9 HOXA9 HOXA7 C1QC SKIC8 HSPA9 LOC107987462 TMEM178A CARTPT CUL4A GPR137 MEIS2 CTNNB1 CIB1 ZNF675 H4C6 GPR55 H4C9 RARA GPR137B MAFB CCL3 APCS CEACAM1 TNFRSF11B NFKBIA H4C4 IAPP H4C16 TLR4 PIAS3 RBM15 LILRB1 MYC GABPA LYN KLF13 HOXB8 TCTA GPR171 H4C3 H4C2 CDC73 TRIB1 ZFPM1 SFRP1,90,negative regulation of myeloid cell differentiation
7475,GO:1902414,DLG5 RELN RAB8A HEG1 ACTG1 DVL1 WNT7A DSP RAPSN CLSTN1 ADAM10 NSG1 PRKCZ ERBB4 NPHS1 GRIN2C MAPK9 VPS35 DLG4 PCLO NECTIN1 CACNG7 TAMALIN RAB11A ERBB2 ZDHHC12 MAPT GRIN2A CGNL1 ASIC2 ZDHHC2 STX3 LRRTM1 GPC4 NRXN1 C1QL3 GRIP2 ZDHHC7 CACNG2 FERMT2 STX1B CDK5 HOMER1 WNT5A PAK2 NPTX1 ARHGAP44 NETO1 GHSR ACTB RAP1A JAM3 STAU1 GRIP1 JAK1 LHFPL4 NLGN2 LAMTOR2 ILDR1 VCL IQSEC2 GRIPAP1 MAPK8IP3 ABHD17B MAP1A CACNG3 STAU2 TJP2 ZDHHC15 DAG1 DLG2 CPLX1 SNAP25 KIF5C BAIAP2 ARHGEF18 CLSTN3 HSPB1 TJP1 GPC6 OGT DLG1 MPP4 KIF5B MARVELD3 RAB27B LAMTOR3 KIF5A SCRIB LSR HRAS LGI1 NRXN2 CDH5 F11R TJP3 SHANK1 C1QL2 NETO2 MPP7 BSN NECTIN3 SLITRK3 NLGN1 KIF3A PECAM1,106,protein localization to cell junction
7476,GO:0030953,DLG1 TPPP KPNB1 CLASP1 RAB11A CEP120 NUMA1 CENPJ LIMK2 EZR,10,astral microtubule organization
7477,GO:0031115,SNCA INPP5J ARHGEF7 CDH5 TUBB4A CLIP3 MAP2 STMN1 FKBP4 DYRK1A EML2 TBCD STMN2 MAPRE1,14,negative regulation of microtubule polymerization
7478,GO:0042430,PDE1B AANAT GRIN2A SLC34A1 HTR1A ALDH2 ATP7A DDC SRD5A1 RNF180 TPH1 TPH2 AFMID HAAO ACMSD BTBD9 IDO2 GCDH KMO ASMT TDO2 IDO1 KYNU IL4I1,24,indole-containing compound metabolic process
7479,GO:0003284,SOX4 GATA4 TGFB2 ACVR1 NSD2,5,septum primum development
7480,GO:2000371,HNRNPU PLSCR1 DHX9 UHRF1 SETMAR,5,regulation of DNA topoisomerase (ATP-hydrolyzing) activity
7481,GO:0010524,BAK1 TRPC3 ADCYAP1R1 LHCGR PLA2G1B BAX CAV1 P2RX3 P2RX5 P2RX2 GRIN1 P2RX7 P2RX4,13,positive regulation of calcium ion transport into cytosol
7482,GO:0048822,MAEA MED1 TRIM58,3,enucleate erythrocyte development
7483,GO:0060013,GLRB GLRA1 SLC1A1 SHANK1 ALDH1A3 AFG3L2 NPSR1 USP46,8,righting reflex
7484,GO:0003374,DNM1L MIEF2,2,dynamin family protein polymerization involved in mitochondrial fission
7485,GO:0030002,TBXAS1 SLC34A1 SLC12A2 FASLG WNK4 SLC34A3 SLC9A3R1 ABCC6 ENPP1 FGF23 CKB STK39 KCNQ1 WNK1 KCNE3 SLC12A5 GCM2 XPR1 UMOD SLC34A2,20,cellular anion homeostasis
7486,GO:0060586,SLC11A2 BTBD9 HAMP SLC40A1 BMP6 HYAL2 SLC11A1 RHAG HFE,9,multicellular organismal iron ion homeostasis
7487,GO:0043001,GOLPH3 RSC1A1 VAMP3 LYPLA1 OPTN BLZF1 PHAF1 NSF PREPL KRT18 GCC2 RAB26 GGA1 ARFRP1 RACK1 MACF1 GOLGA7 VAMP5 GGA2 RAB34 CSK PKDCC GOLPH3L SYS1 VAMP2 CLN3 ATP2C1 GGA3 BBS1 CNST BBS2 AMN RAB31 GOLGA4 ACSL3 RAB10 KIF13A SPTBN1 ANK3,39,Golgi to plasma membrane protein transport
7488,GO:1904071,BSN PCDH17 PCLO,3,presynaptic active zone assembly
7489,GO:0003096,CLCNKB KCNQ1 EDNRA UMOD EDN1 EDNRB KLHL3 MAGED2 SGK1 ATP6V1B1 PON3 WNK4 SLC9A3R1,13,renal sodium ion transport
7490,GO:1902175,P4HB NFE2L2 NME5 SFPQ PARK7 PPIA PARP1 SIRT1 HIF1A GPX1 PRKN PINK1 BAG5 FBXW7 SOD1 MCL1 UBQLN1 HTRA2 TRAP1 AKT1 SOD2 NOX1 NONO VNN1 MAPK7 NOL3 TREM2 HSPB1 INS,29,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
7491,GO:0002803,KLK7 NOD2 PGC KLK5 KLK3,5,positive regulation of antibacterial peptide production
7492,GO:1902743,CDC42 CLRN1 ARHGEF7 CARMIL1 BIN3 AVIL ENPP2 CYFIP1 MTOR AKIRIN1 RAC1 ATP7A HRG ACTR3 NCKAP1 CD44 WAS ARPC2 OCLN ABI2 RAC2 PDPN CORO1B KANK1 CAPZB WASF2 SLIT2 WNT1 TWF2 TWF1 FER FRMD7 ARPIN BRK1 FSCN1 EPHA2 PLCE1 VIL1 ABI3 SRC AUTS2 CARMIL2 DMTN PIK3R1 PIK3CA PLXNB3 CORO1C RREB1 ACTR2 DNM2 MSTN,51,regulation of lamellipodium organization
7493,GO:0002001,SUCNR1 PCSK5 F2R EDNRB OR51E2 F2RL1,6,renin secretion into blood stream
7494,GO:0072738,DAXX HSF1,2,cellular response to diamide
7495,GO:0021979,HAP1 PLXNA3 PLXNA1 PROP1 NDNF NRP1 PRDM13 UBB POU3F2 SEMA3E NHLH2 NRP2 OTP,13,hypothalamus cell differentiation
7496,GO:0006359,ZNF76 AR INHBA MAF1 MTOR POLR3F ZNF143 BRF2 SMARCA5 SETD5 POLR3G ZC3H8 RPTOR TENM1 MYBBP1A CHD8 BRF1 BAZ1B ZNF345 DEK DHX36 PRDX5 NAB2 ERCC6 ELL ICE1 POLR3C SF3B1 ICE2 DDX21,30,regulation of transcription by RNA polymerase III
